PMID,Title,Year,Journal,URL,DOI
"41505790","Technologies, Clinical Applications, and Implementation Barriers of Digital Twins in Precision Cardiology: Systematic Review.","2026","JMIR cardio","https://pubmed.ncbi.nlm.nih.gov/41505790/","https://doi.org/10.2196/78499"
"40855636","TCR representation learning with protein language models: a comprehensive review.","2026","International immunology","https://pubmed.ncbi.nlm.nih.gov/40855636/","https://doi.org/10.1093/intimm/dxaf048"
"41478251","Systematic identification of familial hypercholesterolaemia: An updated systematic review and meta-analysis.","2026","Atherosclerosis","https://pubmed.ncbi.nlm.nih.gov/41478251/","https://doi.org/10.1016/j.atherosclerosis.2025.120625"
"41663859","Synthetic health data in Canada: A scoping review of methods, applications, and data sources.","2026","Canadian journal of public health = Revue canadienne de sante publique","https://pubmed.ncbi.nlm.nih.gov/41663859/","https://doi.org/10.17269/s41997-026-01153-6"
"41339188","Rethinking fairness in AI to improve current practice in oncology.","2026","Trends in cancer","https://pubmed.ncbi.nlm.nih.gov/41339188/","https://doi.org/10.1016/j.trecan.2025.11.005"
"41485393","Reliable leukemia detection via transfer-enhanced Bayesian CNNs.","2026","Computers in biology and medicine","https://pubmed.ncbi.nlm.nih.gov/41485393/","https://doi.org/10.1016/j.compbiomed.2025.111419"
"41032683","Regulating AI in Nursing and Healthcare: Ensuring Safety, Equity, and Accessibility in the Era of Federal Innovation Policy.","2026","Policy, politics & nursing practice","https://pubmed.ncbi.nlm.nih.gov/41032683/","https://doi.org/10.1177/15271544251381228"
"40862319","Refusing to Fall Behind: The Ethical Obligation to Embrace AI in Mental Health Social Work.","2026","Journal of evidence-based social work (2019)","https://pubmed.ncbi.nlm.nih.gov/40862319/","https://doi.org/10.1080/26408066.2025.2553018"
"41527927","Real-world deployment of machine learning models for opioid overdose and opioid use disorder: a systematic review of clinical and operational lessons for addiction medicine.","2026","Journal of addictive diseases","https://pubmed.ncbi.nlm.nih.gov/41527927/","https://doi.org/10.1080/10550887.2025.2607456"
"40556118","Radiology Synthetic Confusion: How Generative Artificial Intelligence Amplifies Misunderstandings of Radiologists and Technologists in Patient-Facing Media.","2026","Canadian Association of Radiologists journal = Journal l'Association canadienne des radiologistes","https://pubmed.ncbi.nlm.nih.gov/40556118/","https://doi.org/10.1177/08465371251350085"
"41654584","People process technology and operations framework for establishing AI governance in healthcare organizations.","2026","NPJ digital medicine","https://pubmed.ncbi.nlm.nih.gov/41654584/","https://doi.org/10.1038/s41746-026-02419-6"
"40972442","Non-iterative and uncertainty-aware MRI-based liver fat estimation using an unsupervised deep learning method.","2026","Medical image analysis","https://pubmed.ncbi.nlm.nih.gov/40972442/","https://doi.org/10.1016/j.media.2025.103811"
"41611218","Measurements and Digital Technology Solutions to Monitor Physical Activity in Patients With Pediatric Cancer: Scoping Review.","2026","JMIR cancer","https://pubmed.ncbi.nlm.nih.gov/41611218/","https://doi.org/10.2196/73889"
"41556569","Mapping Algorithmic Bias in AI-Powered Electrocardiogram Interpretation Across the AI Life Cycle: Protocol for a Scoping Review.","2026","JMIR research protocols","https://pubmed.ncbi.nlm.nih.gov/41556569/","https://doi.org/10.2196/82486"
"41265008","Machine learning models for predicting hospital admission in pediatric emergency departments: A systematic review.","2026","International journal of medical informatics","https://pubmed.ncbi.nlm.nih.gov/41265008/","https://doi.org/10.1016/j.ijmedinf.2025.106189"
"41691666","MRI and Meningioma Research: Hotspots and Trends via Bibliometric Analysis.","2026","Current medical imaging","https://pubmed.ncbi.nlm.nih.gov/41691666/","https://doi.org/10.2174/0115734056425234251229184318"
"41506062","Learning Health Systems provide a glide path to safe landing for AI in health.","2026","Artificial intelligence in medicine","https://pubmed.ncbi.nlm.nih.gov/41506062/","https://doi.org/10.1016/j.artmed.2025.103346"
"41421622","Integrating AI-driven technologies and facial-semantic features for depression detection: A cross-sectional study.","2026","Journal of affective disorders","https://pubmed.ncbi.nlm.nih.gov/41421622/","https://doi.org/10.1016/j.jad.2025.120889"
"41614375","How ready are we to use artificial intelligence in our fight against antimicrobial resistance? An ESGAID and EAAS perspective.","2026","Expert review of anti-infective therapy","https://pubmed.ncbi.nlm.nih.gov/41614375/","https://doi.org/10.1080/14787210.2026.2625382"
"41308276","Healthbots for conducting clinical screening and remote monitoring with patient mood assessment: A scoping review.","2026","International journal of medical informatics","https://pubmed.ncbi.nlm.nih.gov/41308276/","https://doi.org/10.1016/j.ijmedinf.2025.106186"
"41641894","Governance Framework for Safe and Ethical Implementation of Artificial Intelligence in Surgery: A Modified-Delphi Consensus.","2026","Journal of the American College of Surgeons","https://pubmed.ncbi.nlm.nih.gov/41641894/","https://doi.org/10.1097/XCS.0000000000001834"
"41511845","Genomics and Personalized Medicine: The DNA Revolution Reshaping Patient Care by 2035.","2026","Southern medical journal","https://pubmed.ncbi.nlm.nih.gov/41511845/","https://doi.org/10.14423/SMJ.0000000000001925"
"41604946","Gender-based data bias and model fairness evaluation in benchmarked open-access disease prediction datasets.","2026","Computers in biology and medicine","https://pubmed.ncbi.nlm.nih.gov/41604946/","https://doi.org/10.1016/j.compbiomed.2026.111503"
"40748022","Fusion of Artificial Intelligence and Mind-Body Medicine for Holistic Health: A Systematic Review.","2026","Advances in mind-body medicine","https://pubmed.ncbi.nlm.nih.gov/40748022/",""
"41475780","From the Iron Lung to Artificial Intelligence: Integrating New Technology Into Critical Care.","2026","American journal of critical care : an official publication, American Association of Critical-Care Nurses","https://pubmed.ncbi.nlm.nih.gov/41475780/","https://doi.org/10.4037/ajcc2026154"
"41534067","From Agents to Governance: Essential AI Skills for Clinicians in the Large Language Model Era.","2026","Journal of medical Internet research","https://pubmed.ncbi.nlm.nih.gov/41534067/","https://doi.org/10.2196/86550"
"41541411","Frameworks encompassing intersectional perspective of artificial intelligence in healthcare. Scoping review.","2026","Public health in practice (Oxford, England)","https://pubmed.ncbi.nlm.nih.gov/41541411/","https://doi.org/10.1016/j.puhip.2025.100713"
"41426945","Fostering an enabling environment for health AI innovation and scale: The need for tailored ethics training for innovators in low- and middle-income countries.","2026","AI and ethics","https://pubmed.ncbi.nlm.nih.gov/41426945/","https://doi.org/10.1007/s43681-025-00921-3"
"41682156","Federated Learning in Healthcare Ethics: A Systematic Review of Privacy-Preserving and Equitable Medical AI.","2026","Healthcare (Basel, Switzerland)","https://pubmed.ncbi.nlm.nih.gov/41682156/","https://doi.org/10.3390/healthcare14030306"
"41202615","FairREAD: Re-fusing demographic attributes after disentanglement for fair medical image classification.","2026","Medical image analysis","https://pubmed.ncbi.nlm.nih.gov/41202615/","https://doi.org/10.1016/j.media.2025.103858"
"41655003","Exploring the Ethical Dimensions of AI-Driven Patient Monitoring in Critical Care Nursing: A Systematic Review.","2026","Nursing in critical care","https://pubmed.ncbi.nlm.nih.gov/41655003/","https://doi.org/10.1111/nicc.70384"
"41596043","Exploring an AI-First Healthcare System.","2026","Bioengineering (Basel, Switzerland)","https://pubmed.ncbi.nlm.nih.gov/41596043/","https://doi.org/10.3390/bioengineering13010112"
"41655362","Existing and future use cases, and safety and ethical considerations for AI in body image, and eating disorder prevention.","2026","Body image","https://pubmed.ncbi.nlm.nih.gov/41655362/","https://doi.org/10.1016/j.bodyim.2026.102042"
"41522832","Evaluation and improvement of algorithmic fairness for COVID-19 severity classification using Explainable Artificial Intelligence-based bias mitigation.","2026","JAMIA open","https://pubmed.ncbi.nlm.nih.gov/41522832/","https://doi.org/10.1093/jamiaopen/ooaf171"
"41491880","Evaluating the Impact of Annotation Expertise on AI-Based Ultrasound Segmentation: A Case Study on Left Atrial Appendage.","2026","Cardiovascular engineering and technology","https://pubmed.ncbi.nlm.nih.gov/41491880/","https://doi.org/10.1007/s13239-025-00816-8"
"41045746","Ethical, data security, and resource allocation considerations in AI integration for healthcare during Hajj: task force insights and future directions.","2026","International journal of medical informatics","https://pubmed.ncbi.nlm.nih.gov/41045746/","https://doi.org/10.1016/j.ijmedinf.2025.106123"
"41543479","Ethical and Regulatory Considerations for Artificial Intelligence Adoption in Craniofacial Surgery.","2026","The Journal of craniofacial surgery","https://pubmed.ncbi.nlm.nih.gov/41543479/","https://doi.org/10.1097/SCS.0000000000012430"
"41037981","Enhancing healthcare worker mental health via artificial intelligence-driven work process improvements: a scoping review.","2026","International journal of medical informatics","https://pubmed.ncbi.nlm.nih.gov/41037981/","https://doi.org/10.1016/j.ijmedinf.2025.106122"
"40795063","Enhancing end-stage renal disease outcome prediction: a multisourced data-driven approach.","2026","Journal of the American Medical Informatics Association : JAMIA","https://pubmed.ncbi.nlm.nih.gov/40795063/","https://doi.org/10.1093/jamia/ocaf118"
"41553870","Enhancing Fairness in Large Language Models for Clinical Artificial Intelligence Applications Through Fine-Tuning and Prompting.","2026","Journal of visualized experiments : JoVE","https://pubmed.ncbi.nlm.nih.gov/41553870/","https://doi.org/10.3791/69132"
"41595633","Emerging Artificial Intelligence Models for Estimating Breslow Thickness from Dermoscopic Images.","2026","Biomedicines","https://pubmed.ncbi.nlm.nih.gov/41595633/","https://doi.org/10.3390/biomedicines14010097"
"41668332","Effectiveness of AI-based interventions in workplace mental health: a systematic review and narrative synthesis.","2026","British medical bulletin","https://pubmed.ncbi.nlm.nih.gov/41668332/","https://doi.org/10.1093/bmb/ldag007"
"41508097","Discovery of data quality issues in electronic health records: profound consequences for critical care medicine applications - a systematized review.","2026","Critical care (London, England)","https://pubmed.ncbi.nlm.nih.gov/41508097/","https://doi.org/10.1186/s13054-025-05677-0"
"41595347","Digital Mental Health Through an Intersectional Lens: A Narrative Review.","2026","Healthcare (Basel, Switzerland)","https://pubmed.ncbi.nlm.nih.gov/41595347/","https://doi.org/10.3390/healthcare14020211"
"41442471","Diagnostic performance of artificial intelligence in radiographs for pneumoperitoneum detection: a systematic review and meta-analysis.","2026","The British journal of radiology","https://pubmed.ncbi.nlm.nih.gov/41442471/","https://doi.org/10.1093/bjr/tqaf309"
"41620618","Diagnostic accuracy of artificial intelligence models for temporomandibular joint anomalies on MRI: a systematic review and meta-analysis.","2026","Biomedical engineering online","https://pubmed.ncbi.nlm.nih.gov/41620618/","https://doi.org/10.1186/s12938-026-01525-6"
"41570300","Diagnostic Performance of Deep Learning and Radiomics in Extracranial Carotid Plaque Detection: Systematic Review and Meta-Analysis.","2026","Journal of medical Internet research","https://pubmed.ncbi.nlm.nih.gov/41570300/","https://doi.org/10.2196/77092"
"41534082","Developing a Suicide Risk Prediction Algorithm Using Electronic Health Record Data in Mental Health Care: Real-World Case Study.","2026","JMIR medical informatics","https://pubmed.ncbi.nlm.nih.gov/41534082/","https://doi.org/10.2196/74240"
"41628424","Developing a Multimodal Screening Algorithm for Mild Cognitive Impairment and Early Dementia in Home Health Care: Protocol for a Cross-Sectional Case-Control Study Using Speech Analysis, Large Language Models, and Electronic Health Records.","2026","JMIR research protocols","https://pubmed.ncbi.nlm.nih.gov/41628424/","https://doi.org/10.2196/82731"
"41681030","Demographic-aware deep learning for multi-organ segmentation: Mitigating gender and age biases in CT images.","2026","Medical physics","https://pubmed.ncbi.nlm.nih.gov/41681030/","https://doi.org/10.1002/mp.70322"
"41651249","Deep learning-based one-stop (11)C-CFT and (18)F-FDG dual-tracer brain PET imaging protocol for Parkinson's disease.","2026","Brain research bulletin","https://pubmed.ncbi.nlm.nih.gov/41651249/","https://doi.org/10.1016/j.brainresbull.2026.111764"
"41491381","Critically Appraising the Wellness Movement: Cost Without Value, A Narrative Review.","2026","Journal of general internal medicine","https://pubmed.ncbi.nlm.nih.gov/41491381/","https://doi.org/10.1007/s11606-025-10099-3"
"41457873","Collaborative artificial intelligence for the diagnosis and management of acute ischemic stroke.","2026","Annals of medicine","https://pubmed.ncbi.nlm.nih.gov/41457873/","https://doi.org/10.1080/07853890.2025.2594356"
"41666048","Causal modeling of chronic kidney disease in a participatory framework for informing the inclusion of social drivers in health algorithms.","2026","Journal of the American Medical Informatics Association : JAMIA","https://pubmed.ncbi.nlm.nih.gov/41666048/","https://doi.org/10.1093/jamia/ocag019"
"41673000","Biomedical Data Manifest: A lightweight data documentation mapping to increase transparency for AI/ML.","2026","Scientific data","https://pubmed.ncbi.nlm.nih.gov/41673000/","https://doi.org/10.1038/s41597-026-06670-0"
"41659839","Big data in healthcare and medicine revisited design and managerial challenges in the age of artificial intelligence.","2026","Health information science and systems","https://pubmed.ncbi.nlm.nih.gov/41659839/","https://doi.org/10.1007/s13755-026-00433-2"
"41144296","Biases in an artificial intelligence image-generator's depictions of healthy aging and Alzheimer's.","2026","Journal of the American Medical Informatics Association : JAMIA","https://pubmed.ncbi.nlm.nih.gov/41144296/","https://doi.org/10.1093/jamia/ocaf173"
"41627658","Bias and Oversight in Clinical AI: A Review of Decision Support Tools and Equity Frameworks.","2026","Journal of general internal medicine","https://pubmed.ncbi.nlm.nih.gov/41627658/","https://doi.org/10.1007/s11606-026-10229-5"
"41102566","Beyond REMS & PDMPs: A Proposed Framework for Next-Generation Opioid Regulation.","2026","Therapeutic innovation & regulatory science","https://pubmed.ncbi.nlm.nih.gov/41102566/","https://doi.org/10.1007/s43441-025-00882-z"
"41494438","Between empathy and algorithms: Navigating interpersonal dynamics in AI-augmented mental health care- Discursive review.","2026","Asian journal of psychiatry","https://pubmed.ncbi.nlm.nih.gov/41494438/","https://doi.org/10.1016/j.ajp.2025.104816"
"41221905","Balancing Innovation and Humanism: An Ethical Debate on AI and VR in Psychiatric Nursing Education.","2026","Journal of psychiatric and mental health nursing","https://pubmed.ncbi.nlm.nih.gov/41221905/","https://doi.org/10.1111/jpm.70056"
"41529075","Assessment of the Diagnostic Performance and Clinical Impact of AI in Hepatic Steatosis: Systematic Review and Meta-Analysis.","2026","Journal of medical Internet research","https://pubmed.ncbi.nlm.nih.gov/41529075/","https://doi.org/10.2196/78310"
"41499913","Artificial intelligence performance in image-based biliary atresia identification: a systematic review and meta-analysis.","2026","European journal of radiology","https://pubmed.ncbi.nlm.nih.gov/41499913/","https://doi.org/10.1016/j.ejrad.2025.112651"
"41616395","Artificial intelligence in emergency medicine: a narrative review.","2026","The American journal of emergency medicine","https://pubmed.ncbi.nlm.nih.gov/41616395/","https://doi.org/10.1016/j.ajem.2026.01.028"
"41338039","Artificial intelligence in depression diagnostics: A systematic review of methodologies and clinical applications.","2026","Artificial intelligence in medicine","https://pubmed.ncbi.nlm.nih.gov/41338039/","https://doi.org/10.1016/j.artmed.2025.103320"
"40975441","Artificial intelligence in age-related macular degeneration: Advancing diagnosis, prognosis, and treatment.","2026","Survey of ophthalmology","https://pubmed.ncbi.nlm.nih.gov/40975441/","https://doi.org/10.1016/j.survophthal.2025.09.007"
"41338157","Artificial intelligence in CT for predicting lymph node metastasis in rectal cancer patients: a meta-analysis.","2026","Clinical radiology","https://pubmed.ncbi.nlm.nih.gov/41338157/","https://doi.org/10.1016/j.crad.2025.107001"
"41229356","Artificial intelligence for risk assessment and outcome prediction in malignant haematology.","2026","British journal of haematology","https://pubmed.ncbi.nlm.nih.gov/41229356/","https://doi.org/10.1111/bjh.70231"
"41643489","Artificial intelligence approaches for non-invasive diabetes prediction using ECG signals: A systematic review.","2026","Computer methods and programs in biomedicine","https://pubmed.ncbi.nlm.nih.gov/41643489/","https://doi.org/10.1016/j.cmpb.2026.109264"
"41413010","Artificial Intelligence: Promises and Perils for Employer-Sponsored Mental Health and Well-Being Initiatives.","2026","American journal of health promotion : AJHP","https://pubmed.ncbi.nlm.nih.gov/41413010/","https://doi.org/10.1177/08901171251406962"
"41564731","Artificial Intelligence-Enhanced Electrocardiogram Models for Detection of Left Ventricular Dysfunction: A Comparison Study.","2026","JACC. Advances","https://pubmed.ncbi.nlm.nih.gov/41564731/","https://doi.org/10.1016/j.jacadv.2025.102572"
"41215632","Artificial Intelligence in Surgical Education: A 2025 Update on Adaptive Training, Feedback, and Competency-Based Education.","2026","The American surgeon","https://pubmed.ncbi.nlm.nih.gov/41215632/","https://doi.org/10.1177/00031348251397597"
"41628715","Artificial Intelligence in Osteoarthritis Diagnosis and Treatment: Advancements, Challenges, and Future Prospects.","2026","Hand surgery & rehabilitation","https://pubmed.ncbi.nlm.nih.gov/41628715/","https://doi.org/10.1016/j.hansur.2026.102587"
"41595166","Artificial Intelligence in Oncologic Thoracic Surgery: Clinical Decision Support and Emerging Applications.","2026","Cancers","https://pubmed.ncbi.nlm.nih.gov/41595166/","https://doi.org/10.3390/cancers18020246"
"41542760","Artificial Intelligence in Nutrigenomics: A Critical Review on Functional Food Insights and Personalized Nutrition Pathways.","2026","Journal of human nutrition and dietetics : the official journal of the British Dietetic Association","https://pubmed.ncbi.nlm.nih.gov/41542760/","https://doi.org/10.1111/jhn.70200"
"41598840","Artificial Intelligence in Coronary Plaque Characterization: Clinical Implications, Evidence Gaps, and Future Directions.","2026","Journal of clinical medicine","https://pubmed.ncbi.nlm.nih.gov/41598840/","https://doi.org/10.3390/jcm15020903"
"41473779","Artificial Intelligence for Mental Health Monitoring: A Solution for Digital Behavioral Health Care and Education-An Umbrella Review.","2026","Health science reports","https://pubmed.ncbi.nlm.nih.gov/41473779/","https://doi.org/10.1002/hsr2.71703"
"41665234","Artificial Intelligence for Gastroenterology Practice: A Modified Delphi Consensus.","2026","The American journal of gastroenterology","https://pubmed.ncbi.nlm.nih.gov/41665234/","https://doi.org/10.14309/ajg.0000000000003944"
"41590385","Artificial Intelligence and Machine Learning in Bone Metastasis Management: A Narrative Review.","2026","Current oncology (Toronto, Ont.)","https://pubmed.ncbi.nlm.nih.gov/41590385/","https://doi.org/10.3390/curroncol33010065"
"41115175","Artificial Intelligence and Health Equity.","2026","Annual review of medicine","https://pubmed.ncbi.nlm.nih.gov/41115175/","https://doi.org/10.1146/annurev-med-043024-125309"
"41199593","Artificial Intelligence Use in Acne Diagnosis and Management-A Scoping Review.","2026","International journal of dermatology","https://pubmed.ncbi.nlm.nih.gov/41199593/","https://doi.org/10.1111/ijd.70110"
"40340944","Artificial Intelligence Applied to Ultrasound Diagnosis of Pelvic Gynecological Tumors: A Systematic Review and Meta-Analysis.","2026","Gynecologic and obstetric investigation","https://pubmed.ncbi.nlm.nih.gov/40340944/","https://doi.org/10.1159/000545850"
"41597485","Artificial Intelligence Applied to Electrocardiograms Recorded in Sinus Rhythm for Detection and Prediction of Atrial Fibrillation: A Scoping Review.","2026","Medicina (Kaunas, Lithuania)","https://pubmed.ncbi.nlm.nih.gov/41597485/","https://doi.org/10.3390/medicina62010199"
"41056294","Artificial Intelligence Applications in Haemophilia Care: A Narrative Review of the Literature.","2026","Haemophilia : the official journal of the World Federation of Hemophilia","https://pubmed.ncbi.nlm.nih.gov/41056294/","https://doi.org/10.1111/hae.70135"
"41371937","Artificial Intelligence Across the Obesity Continuum: From Mechanistic Insights to Global Precision Prevention and Therapy.","2026","Obesity (Silver Spring, Md.)","https://pubmed.ncbi.nlm.nih.gov/41371937/","https://doi.org/10.1002/oby.70095"
"41486277","Application of deep learning technology in breast cancer: a systematic review of segmentation, detection, and classification approaches.","2026","Biomedical engineering online","https://pubmed.ncbi.nlm.nih.gov/41486277/","https://doi.org/10.1186/s12938-025-01502-5"
"40995672","Application of artificial intelligence for the detection of obstructive sleep apnea based on clinical and demographic data: a systematic review.","2026","Expert review of respiratory medicine","https://pubmed.ncbi.nlm.nih.gov/40995672/","https://doi.org/10.1080/17476348.2025.2567046"
"41532836","Agentic AI in Radiology: Evolution from Large Language Models to Future Clinical Integration.","2026","Radiology. Artificial intelligence","https://pubmed.ncbi.nlm.nih.gov/41532836/","https://doi.org/10.1148/ryai.250651"
"40758491","Advancing Cancer Research With Synthetic Data Generation in Low-Data Scenarios.","2026","IEEE journal of biomedical and health informatics","https://pubmed.ncbi.nlm.nih.gov/40758491/","https://doi.org/10.1109/JBHI.2025.3595371"
"41682824","Advanced Diagnostic Technologies and Molecular Biomarkers in Periodontitis: Systemic Health Implications and Translational Perspectives.","2026","Journal of clinical medicine","https://pubmed.ncbi.nlm.nih.gov/41682824/","https://doi.org/10.3390/jcm15031142"
"41533193","Addressing Health Disparities through Community Engagement in Artificial Intelligence-Driven Prevention Science.","2026","Prevention science : the official journal of the Society for Prevention Research","https://pubmed.ncbi.nlm.nih.gov/41533193/","https://doi.org/10.1007/s11121-025-01863-2"
"41137818","Accuracy of a new, slim, and rigid CAD-CAM transfer tray: An in vivo study.","2026","American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics","https://pubmed.ncbi.nlm.nih.gov/41137818/","https://doi.org/10.1016/j.ajodo.2025.08.016"
"41680855","AI/ML-based strategies for enhancing equity, diversity, and inclusion in randomized clinical trials.","2026","Trials","https://pubmed.ncbi.nlm.nih.gov/41680855/","https://doi.org/10.1186/s13063-026-09537-2"
"41505715","AI for Detecting and Predicting Postpartum Depression: Scoping Review.","2026","Journal of medical Internet research","https://pubmed.ncbi.nlm.nih.gov/41505715/","https://doi.org/10.2196/77376"
"41551000","A predictive model for cognitive decline using social determinants of health.","2026","JAR life","https://pubmed.ncbi.nlm.nih.gov/41551000/","https://doi.org/10.1016/j.jarlif.2025.100056"
"41548733","A federated learning framework for ethical dynamic treatment allocation across heterogeneous hospitals.","2026","Journal of biomedical informatics","https://pubmed.ncbi.nlm.nih.gov/41548733/","https://doi.org/10.1016/j.jbi.2026.104987"
"40952766","[Use of artificial intelligence to prevent aggressions against health professionals].","2025","Gaceta medica de Mexico","https://pubmed.ncbi.nlm.nih.gov/40952766/","https://doi.org/10.24875/GMM.M25001014"
"40864481","[Artificial intelligence-enhanced ECG interpretation: a new era for electrocardiography?].","2025","Giornale italiano di cardiologia (2006)","https://pubmed.ncbi.nlm.nih.gov/40864481/","https://doi.org/10.1714/4542.45427"
"40718967","[Artificial intelligence for randomized controlled trials in cardiology: applications and future perspectives].","2025","Giornale italiano di cardiologia (2006)","https://pubmed.ncbi.nlm.nih.gov/40718967/","https://doi.org/10.1714/4531.45330"
"40759486","World Endoscopy Organization's Response to the World Health Organization's Global Initiative on Artificial Intelligence for Health.","2025","Digestive endoscopy : official journal of the Japan Gastroenterological Endoscopy Society","https://pubmed.ncbi.nlm.nih.gov/40759486/","https://doi.org/10.1111/den.70011"
"41037359","Why tomorrow's public health needs to be digital: artificial intelligence and automation for a sustainable Italian National Health Service.","2025","Recenti progressi in medicina","https://pubmed.ncbi.nlm.nih.gov/41037359/","https://doi.org/10.1701/4573.45775"
"40671048","Which explanations do clinicians prefer? A comparative evaluation of XAI understandability and actionability in predicting the need for hospitalization.","2025","BMC medical informatics and decision making","https://pubmed.ncbi.nlm.nih.gov/40671048/","https://doi.org/10.1186/s12911-025-03045-0"
"39671751","Where, why, and how is bias learned in medical image analysis models? A study of bias encoding within convolutional networks using synthetic data.","2025","EBioMedicine","https://pubmed.ncbi.nlm.nih.gov/39671751/","https://doi.org/10.1016/j.ebiom.2024.105501"
"41460829","When noise mitigates bias in human-algorithm decision-making: An agent-based model.","2025","PloS one","https://pubmed.ncbi.nlm.nih.gov/41460829/","https://doi.org/10.1371/journal.pone.0339273"
"40669283","Wearable technology for cardiovascular disease management: A global bibliometric analysis with emerging insights into artificial intelligence integration.","2025","Computers in biology and medicine","https://pubmed.ncbi.nlm.nih.gov/40669283/","https://doi.org/10.1016/j.compbiomed.2025.110752"
"40849716","Walrus Optimization-Enhanced ResNet-50 for AI-Driven Renal Malignancy Prediction with Occlusion Sensitivity-Based Interpretation.","2025","Asian Pacific journal of cancer prevention : APJCP","https://pubmed.ncbi.nlm.nih.gov/40849716/","https://doi.org/10.31557/APJCP.2025.26.8.2995"
"39237055","Volume Measurements for Surveillance after Endovascular Aneurysm Repair using Artificial Intelligence.","2025","European journal of vascular and endovascular surgery : the official journal of the European Society for Vascular Surgery","https://pubmed.ncbi.nlm.nih.gov/39237055/","https://doi.org/10.1016/j.ejvs.2024.08.045"
"40196251","Vision Transformer Autoencoders for Unsupervised Representation Learning: Revealing Novel Genetic Associations through Learned Sparse Attention Patterns.","2025","medRxiv : the preprint server for health sciences","https://pubmed.ncbi.nlm.nih.gov/40196251/","https://doi.org/10.1101/2025.03.24.25324549"
